Rank,Country,Amount spent on Public Safety (in Billions)
1,Netherlands,193.4
2,Norway,89.84
3,Australia,
4,Sweden,
5,Canada,
6,Luxembourg,
7,New Zealand,
8,Switzerland,
9,Denmark,
10,United Kingdom,
11,Ireland,
12,Singapore,
13,Israel,
14,Finland,
15,Iceland,
16,Germany,685.83
17,Austria,
18,France,
19,Japan,
20,USA,
21,South Korea,
22,Belgium,
23,Slovenia,
24,Portugal,
25,Spain,
26,Italy,
27,Malta,
28,Czech Republic,
29,Cyprus,
30,Slovakia,
31,Estonia,
32,Greece,
33,Hungary,
34,Croatia,
35,Poland,
36,Latvia,
37,Argentina,
38,Turkey,
39,Lithuania,
40,Uruguay,
41,Macedonia,
42,Malaysia,
43,Brazil,
44,Chile,
45,Costa Rica,